##input
##{
##time_step=0.5;
##time_end = 1000;
##Gamma_l =0.5;  //also Gamma_l is square root of the decay
##Gamma_m =0.50;
##Gamma_r =0.5;
##Nbin =2;
##svdcutoff = 1E-8;
##maxnumberofSV = 5000;
##left_fb = 2; //ATTENTION left-middle  .... avoid feedback 2, avoid feedback times uneven
##right_fb = 2; //ATTENTION middle-right ... left_fb >= right_fb, works for right_fb=1
##init_000 = 0.; 
##init_001 = 0.57735027; 
##init_010 = 0.57735027; 
##init_011 = 0.*0.57735027; 
##init_100 = 0.57735027; 
##init_101 = 0.*0.57735027; 
##init_110 = 0.*0.57735027;//70710678118; 
##init_111 = 0.0;//70710678118; 
##phi = 4.0 ; // 4 --> 4pi --> all phases zero!!!
##INDIVIDUAL_PHASE_CHOICE = 0; // if this is zero, the phase is set with phi=phi_l=phi_r, and phi_l=phi*l_fb/(l_fb+r_fb)
##phi_l  = 0.0;  // as multiple of pi phi_l=phi_r, and 
##phi_ml = 0.0; // phi_m chooses phi_ml, and fixes phi_mr/0.5=1.-phi_ml/0.5
##phi_mr = 0.0; // phi_m chooses phi_ml, and fixes phi_mr/0.5=1.-phi_ml/0.5
##phi_r  = 0.0;  // ATTENTION !! has no influence is equal to phi_r
##par_max = 60;
##}
##// =ATTENTION feedback counts between left and right, middle is half the feedback, effective first feedback effect after fb/2
##// =ATTENTION exclude feedback time of 2, i.e. no distance between left - middle - right bin
##// =ATTENTION exclude uneven feedback times of 2n+1, i.e. asymmetric swap necessary between left - middle - right bin
##// =ATTENTION exclude complex valued initial states, not yet implemented
##
##// 1./sqrt(2.) = 0.70710678118
##// 1./sqrt(3.) = 0.57735027
##// 2pi=6.283185307179586476925286766559  
##// 4pi=12,566370614359172953850573533118‬
## 0.00 	 0.00 	 0.00 	 0.00 
## 0 	 0.0000000000 	 0.0000000000 	 0.0000000000 
0 	 0.0000000000 	 0.0000000000 	 0.0000000000 
## 0.03 	 0.02 	 0.02 	 0.03 
## 1 	 0.0000057527 	 0.0000229976 	 0.0000057527 
1 	 0.0000057525 	 0.0000229968 	 0.0000057525 
## 0.07 	 0.03 	 0.03 	 0.07 
## 2 	 0.0000208765 	 0.0000833167 	 0.0000208765 
2 	 0.0000208738 	 0.0000833058 	 0.0000208738 
## 0.10 	 0.05 	 0.05 	 0.10 
## 3 	 0.0000399002 	 0.0001587878 	 0.0000399002 
3 	 0.0000398884 	 0.0001587407 	 0.0000398884 
## 0.13 	 0.07 	 0.07 	 0.13 
## 4 	 0.0000563336 	 0.0002232987 	 0.0000563336 
4 	 0.0000563037 	 0.0002231804 	 0.0000563037 
## 0.17 	 0.08 	 0.08 	 0.17 
## 5 	 0.0000652232 	 0.0002572217 	 0.0000652232 
5 	 0.0000651689 	 0.0002570074 	 0.0000651689 
## 0.20 	 0.10 	 0.10 	 0.20 
## 6 	 0.0000647645 	 0.0002538285 	 0.0000647645 
6 	 0.0000646862 	 0.0002535217 	 0.0000646862 
## 0.23 	 0.12 	 0.12 	 0.23 
## 7 	 0.0000563831 	 0.0002193630 	 0.0000563831 
7 	 0.0000562895 	 0.0002189987 	 0.0000562895 
## 0.27 	 0.13 	 0.13 	 0.27 
## 8 	 0.0000435217 	 0.0001678987 	 0.0000435217 
8 	 0.0000434263 	 0.0001675307 	 0.0000434263 
## 0.30 	 0.15 	 0.15 	 0.30 
## 9 	 0.0000299404 	 0.0001144052 	 0.0000299404 
9 	 0.0000298564 	 0.0001140842 	 0.0000298564 
## 0.33 	 0.17 	 0.17 	 0.33 
## 10 	 0.0000183829 	 0.0000694976 	 0.0000183829 
10 	 0.0000183184 	 0.0000692537 	 0.0000183184 
## 0.37 	 0.18 	 0.18 	 0.37 
## 11 	 0.0000100609 	 0.0000375914 	 0.0000100609 
